date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:53	33326/33326	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2021:27:24%20+0000	http://old.nordicosenadopcion.com/anuncio/151	old.nordicosenadopcion.com/anuncio/151.html	(from http://old.nordicosenadopcion.com/)
11:29:57	27229/27229	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2021:27:22%20+0000	http://old.nordicosenadopcion.com/anuncio/179	old.nordicosenadopcion.com/anuncio/179.html	(from http://old.nordicosenadopcion.com/)
11:29:58	7741/7741	---M--	200	added ('OK')	image/jpeg	etag:%224fc786f0=1e3d%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/390727_10150438306544420_52464304419_8266852_1121401042_n.jpg	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/390727_10150438306544420_52464304419_8266852_1121401042_n.jpg	(from http://old.nordicosenadopcion.com/)
11:29:59	29064/29064	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2021:27:20%20+0000	http://old.nordicosenadopcion.com/anuncio/535	old.nordicosenadopcion.com/anuncio/535.html	(from http://old.nordicosenadopcion.com/)
11:30:01	11108/11108	---M--	200	added ('OK')	image/jpeg	etag:%224e12dd54=2b64%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/jason3b.jpg	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/jason3b.jpg	(from http://old.nordicosenadopcion.com/)
11:30:01	83008/83008	---M--	200	added ('OK')	image/png	etag:%2259142520=14440%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/Canela%20y%20sus%20hermanos_0.png	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/Canela%20y%20sus%20hermanos_0.png	(from http://old.nordicosenadopcion.com/)
11:30:01	29231/29231	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2021:27:18%20+0000	http://old.nordicosenadopcion.com/anuncio/564	old.nordicosenadopcion.com/anuncio/564.html	(from http://old.nordicosenadopcion.com/)
11:30:02	9327/9327	---M--	200	added ('OK')	image/jpeg	etag:%224e257429=246f%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/Kratos1_0.jpg	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/Kratos1_0.jpg	(from http://old.nordicosenadopcion.com/)
11:30:04	30476/30476	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2021:27:16%20+0000	http://old.nordicosenadopcion.com/anuncio/688	old.nordicosenadopcion.com/anuncio/688.html	(from http://old.nordicosenadopcion.com/)
11:30:09	63607/63607	---M--	200	added ('OK')	image/png	etag:%22591974e2=f877%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/PORTADA%20SULT%c3%81N.png	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/PORTADA%20SULT%c3%81N.png	(from http://old.nordicosenadopcion.com/)
11:30:09	28083/28083	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20May%202018%2009:30:06%20+0000	http://old.nordicosenadopcion.com/anuncio/1172	old.nordicosenadopcion.com/anuncio/1172.html	(from http://old.nordicosenadopcion.com/)
11:30:10	6575/6575	---M--	200	added ('OK')	image/jpeg	etag:%2259143d77=19af%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/bito5.jpg	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/bito5.jpg	(from http://old.nordicosenadopcion.com/)
11:30:11	27024/27024	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20May%202018%2009:30:09%20+0000	http://old.nordicosenadopcion.com/anuncio/1173	old.nordicosenadopcion.com/anuncio/1173.html	(from http://old.nordicosenadopcion.com/)
11:30:17	26212/26212	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20May%202018%2009:30:13%20+0000	http://old.nordicosenadopcion.com/anuncio/1185	old.nordicosenadopcion.com/anuncio/1185.html	(from http://old.nordicosenadopcion.com/)
11:30:19	91612/91612	---M--	200	added ('OK')	image/png	etag:%2259142bc9=165dc%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/TEX.png	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/TEX.png	(from http://old.nordicosenadopcion.com/)
11:30:19	13750/13750	---M--	200	added ('OK')	image/jpeg	etag:%225409f819=35b6%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/page.jpg	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/page.jpg	(from http://old.nordicosenadopcion.com/)
11:30:19	30654/30654	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20May%202018%2009:30:17%20+0000	http://old.nordicosenadopcion.com/anuncio/1191	old.nordicosenadopcion.com/anuncio/1191.html	(from http://old.nordicosenadopcion.com/)
11:30:21	7206/7206	---M--	200	added ('OK')	image/jpeg	etag:%2254590f56=1c26%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/10304336_891942337496650_6444645881232934055_n_0.jpg	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/10304336_891942337496650_6444645881232934055_n_0.jpg	(from http://old.nordicosenadopcion.com/)
11:30:21	27713/27713	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20May%202018%2009:30:20%20+0000	http://old.nordicosenadopcion.com/node/1221	old.nordicosenadopcion.com/node/1221.html	(from http://old.nordicosenadopcion.com/)
11:30:23	11902/11902	---M--	200	added ('OK')	image/jpeg	etag:%2258fa869f=2e7e%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/balto1_0.jpg	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/balto1_0.jpg	(from http://old.nordicosenadopcion.com/)
11:30:23	27169/27169	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20May%202018%2009:30:22%20+0000	http://old.nordicosenadopcion.com/anuncio/1222	old.nordicosenadopcion.com/anuncio/1222.html	(from http://old.nordicosenadopcion.com/)
11:30:24	13867/13867	---M--	200	added ('OK')	image/jpeg	etag:%2258fe1929=362b%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/Bowie1.jpg	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/Bowie1.jpg	(from http://old.nordicosenadopcion.com/)
11:30:25	27736/27736	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20May%202018%2009:30:24%20+0000	http://old.nordicosenadopcion.com/anuncio/1227	old.nordicosenadopcion.com/anuncio/1227.html	(from http://old.nordicosenadopcion.com/)
11:30:25	6690/6690	---M--	200	added ('OK')	image/jpeg	etag:%225919770f=1a22%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/fusta%20(2).jpg	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/fusta%20(2).jpg	(from http://old.nordicosenadopcion.com/)
